Running...
Motion detected
         19638 function calls (19627 primitive calls) in 12.248 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      481    0.001    0.000    0.001    0.000 {ord}
        4    0.001    0.000    0.004    0.001 abc.py:86(__new__)
        5    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x252e08}
        1    0.001    0.001    0.001    0.001 _endian.py:4(<module>)
        3    0.001    0.000    0.001    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.001    0.001    0.001    0.001 ssl.py:56(<module>)
        6    0.001    0.000    0.001    0.000 {method 'strftime' of 'datetime.date' objects}
        2    0.001    0.001    0.001    0.001 camera.py:1756(_set_exposure_mode)
        2    0.001    0.001    0.001    0.001 camera.py:1800(_set_awb_mode)
        2    0.001    0.001    0.036    0.018 Image.py:1943(open)
        2    0.001    0.001    0.001    0.001 camera.py:1881(_set_color_effects)
        1    0.001    0.001    0.003    0.003 __init__.py:265(_reset_cache)
        1    0.001    0.001    0.001    0.001 ascii.py:8(<module>)
        2    0.001    0.001    0.001    0.001 camera.py:1838(_set_image_effect)
        2    0.001    0.001    0.001    0.001 camera.py:1418(_set_sharpness)
       99    0.001    0.000    0.001    0.000 collections.py:328(<genexpr>)
       50    0.001    0.000    0.002    0.000 camera.py:503(_check_camera_open)
        1    0.001    0.001    0.002    0.002 JpegImagePlugin.py:35(<module>)
       35    0.001    0.000    0.001    0.000 sre_parse.py:182(__next)
        2    0.001    0.001    0.001    0.001 camera.py:1382(_set_saturation)
        2    0.001    0.001    0.002    0.001 JpegImagePlugin.py:168(DQT)
        2    0.001    0.000    0.001    0.001 camera.py:1562(_set_ISO)
       14    0.001    0.000    0.005    0.000 {method 'encode' of 'unicode' objects}
        2    0.001    0.000    0.001    0.000 camera.py:444(_enable_port)
        2    0.001    0.000    0.001    0.000 {built-in method now}
        4    0.001    0.000    0.001    0.000 threading.py:186(__init__)
        1    0.001    0.001    0.001    0.001 mmal.py:832(MMAL_PARAMETER_CAMERA_INFO_T)
        2    0.001    0.000    0.001    0.001 camera.py:1669(_set_video_stabilization)
       26    0.001    0.000    0.001    0.000 JpegImagePlugin.py:41(i16)
      102    0.001    0.000    0.001    0.000 {setattr}
        2    0.001    0.000    1.935    0.967 camera.py:758(capture)
       19    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
        2    0.001    0.000    0.001    0.000 camera.py:1715(_set_exposure_compensation)
       11    0.001    0.000    0.001    0.000 {posix.stat}
        1    0.001    0.001    0.001    0.001 {dir}
        1    0.001    0.001    0.001    0.001 socket.py:179(_socketobject)
        2    0.001    0.000    0.067    0.034 encoders.py:79(__init__)
        3    0.001    0.000    0.002    0.001 sre_compile.py:32(_compile)
        1    0.001    0.001    0.004    0.004 bcm_host.py:34(<module>)
        1    0.001    0.001    0.001    0.001 ImageFile.py:30(<module>)
        1    0.001    0.001    0.001    0.001 ImageColor.py:20(<module>)
        2    0.001    0.000    0.001    0.001 JpegImagePlugin.py:54(APP)
       19    0.001    0.000    0.002    0.000 _weakrefset.py:58(__iter__)
        1    0.001    0.001    0.130    0.130 mimetypes.py:348(init)
        3    0.001    0.000    0.002    0.001 sre_compile.py:361(_compile_info)
        9    0.001    0.000    0.001    0.000 genericpath.py:26(isfile)
        1    0.001    0.001    0.001    0.001 mmal.py:1263(MMAL_PARAMETER_VIDEO_DRM_INIT_INFO_T)
       32    0.001    0.000    0.002    0.000 sre_parse.py:201(get)
        2    0.001    0.000    0.001    0.001 JpegImagePlugin.py:121(SOF)
